No.,rotation_range,shift_range,brightness_range,shear_range,zoom_range,channel_shift_range
1,30,1,0.2,0.8,0,0.5
2,15,1,0,0.2,0.5,0.8
3,45,0,0.8,0.2,1,0.5
4,30,0.2,0.8,0,0.5,1
5,90,0.5,0.2,0,1,0.8
6,90,1,0.8,0.5,0.2,0
7,0,0.8,0.8,0.8,0.8,0.8
8,45,1,0.5,0,0.8,0.2
9,15,0.2,0.5,0.8,1,0
10,30,0.8,0,0.5,1,0.2
11,15,0.5,0.8,1,0,0.2
12,0,0,0,0,0,0
13,45,0.2,1,0.5,0,0.8
14,90,0.2,0,1,0.8,0.5
15,90,0.8,0.5,0.2,0,1
16,15,0.8,1,0,0.2,0.5
17,90,0,1,0.8,0.5,0.2
18,45,0.8,0.2,1,0.5,0
19,0,0.5,0.5,0.5,0.5,0.5
20,0,0.2,0.2,0.2,0.2,0.2
21,15,0,0.2,0.5,0.8,1
22,45,0.5,0,0.8,0.2,1
23,30,0,0.5,1,0.2,0.8
24,30,0.5,1,0.2,0.8,0
25,0,1,1,1,1,1
